if_fault_id,fault_no,status,occurrence_time,occurrence_place,train_no,train_type_desc,car_no,railway,report_position,cause_class,org_id,fault_level,fault_brief,configuration_location,intuitive_fault_object,intuitive_fault_object_id,intuitive_fault_object_desc,intuitive_fault_pattern,intuitive_fault_pattern_id,intuitive_fault_pattern_desc,reconnect_location,occurrence_time,occurrence_place,accident_level,responsibility_class,running_way,falut_environment,main_responsibility,other_responsibility,car_trips,accumulated_mileage,fault_result,start_late,end_late,fault_desc,fault_order_type,report_time,processing_date,processing_result,special_fault,safety_supervisio_fault,in_repair,startup_fault_analysis,report_person,report_part,contact_tel,real_fault_object,real_fault_object_id,real_other_fault_object_desc,real_fault_pattern,real_fault_pattern_id,real_other_fault_pattern_desc,fault_cause,other_fault_cause_desc,solution,other_solution,fault_property,diagnostic_time,initial_cause_analysis,final_cause_analysis,replace_parts,repair_location,debugging_time,total_repair_counts,repair_time,total_downtime,repair_property,initial_treatment_measures,final_treatment_measures,important_info_no,closed_loop_time
,,作业关闭,randtime,武汉动车所,,E15:201,1,南昌铁路局-空,北京南,外部运用环境,8,IV级故障-一般故障,def,def,def,randint,def,泄漏（风/水/油）,randint,def,前车,randtime,武汉动车所,A类事故,厂内单位,G257,None,IFE-威奥轨道车辆门系统（青岛）有限公司,株洲中车时代电气股份有限公司,青岛-武汉,randint,None,randfloat,randfloat,def,厂外故障,randtime,randtime,处理完毕,是,是,是,是,randcho,randcho,def ,def ,randint,def ,泄漏（风/水/油）,randint,def ,def ,def ,清除异物,None,关联故障,randint,def ,def ,randint,服务站,randint,randint,randint,randint,现车可更换,def,def,检服-机-2017-188,None
,,故障关闭,,检修库内,,E30:202,2,武汉铁路局-空,武汉,运用维护不当,88,III级故障-临界故障,,,,9999,,004故障-变流器故障1,999,,后车,,检修库内,B类事故,厂外单位,厦门北-南昌,,JAE,时代电气,D6526,999999,,300,600,,厂内故障,,,正在处理,否,否,否,否,,,,,99999,,004故障-变流器故障1,99999,,,,规范司机操作,,非关联故障,300,,,9999,检修基地,150,9999,999,499,进库可更换（不需抬车）,,,检服-外-2017-BD017,
,,已输入,,库内,,E30:203,3,武汉铁路局-技术工程部,南宁,供方制造工艺质量,888,II级故障-严重故障,,,,,,振动,,,,,库内,C类事故,无法识别,太原南-北京西,,KYB,动车所,G608,,,,,,,,,临时处理,,,,,,,,,,,振动,,,,,重新安装调节紧固螺栓,,,,,,,,,,,,进库可更换（需抬车）,,,检服-制-2017-115,
,,已取消,,检修库,,E16:204,4,上海铁路局-南京,南京,待分析,8888,I级故障-灾难级故障,,,,,,不亮,,,,,检修库,D类事故,用户单位,北京西-西安北,,NSK,K,G25,,,,,,,,,已临时处理完毕,,,,,,,,,,,不亮,,,,,更换接地线端子,,,,,,,,,,,,/返厂可更换,,,检服-机-2017-168,
,,等待生成工单,,动车所,,E34:205,5,上海铁路局-空,上海南,公司制造工艺质量,,,,,,,,堵塞,,,,,动车所,,,福州-南昌,,TDK,现01车VIP座椅1A电视显示无信号,G87,,,,,,,,,尚未处理,,,,,,,,,,,堵塞,,,,,修复调整处理,,,,,,,,,,,,,,,检服-电-2017-474,
,,等待专家意见,,昆明动车所,,E21:206,6,武汉铁路局-武汉,空,供方产品设计质量,,,,,,,,其他故障模式,,,,,昆明动车所,,,重庆北-南京南,,~空调采暖系统:单元,02车辅助供风止回阀止回功能不良。,D6512,,,,,,,,,,,,,,,,,,,,其他故障模式,,,,,更换浮球开关,,,,,,,,,,,,,,,检服-电-2017-452,
,,工单执行中,,南昌西动车所,,E32:207,7,北京铁路局-石家庄,郑州,公司产品设计质量,,,,,,,,NVR电源模块故障,,,,,南昌西动车所,,,上海虹桥-福州,,~给水卫生系统:无锡市桑普电器科技发展有限公司,天津神钢,D2272,,,,,,,,,,,,,,,,,,,,NVR电源模块故障,,,,,清理底漏处异物,,,,,,,,,,,,,,,检服-电-2017-464,
,,,,运行途中,,E32A:208,8,武汉铁路局-青岛,昆明,,,,,,,,,传输不良,,,,,运行途中,,,北京西-昆明南,,~给水卫生系统:青岛海能,四方股份,G1637,,,,,,,,,,,,,,,,,,,,传输不良,,,,,更换保护罩,,,,,,,,,,,,,,,检服-转-2017-295,
,,,,库内检修时,,E22:251,,南宁铁路局-桂林,南昌西,,,,,,,,,脏堵,,,,,库内检修时,,,郑州东-玉溪,,~行车安全装备:项目组,兰普电器股份有限公司,G405,,,,,,,,,,,,,,,,,,,,脏堵,,,,,其他,,,,,,,,,,,,,,,检服-机-2017-157,
,,,,武汉所,,E22:252,,南昌铁路局-南昌西,广州南,,,,,,,,,机械卡滞/锈蚀(作用不良),,,,,武汉所,,,武汉-利川,,~高压供电系统:青岛锦业城,总装分厂,G1535,,,,,,,,,,,,,,,,,,,,机械卡滞/锈蚀(作用不良),,,,,复位,,,,,,,,,,,,,,,检服-电-2017-487,
,,,,韶关-广州南,,E22:253,,北京铁路局-空,合肥,,,,,,,,,部件变形/裂纹/断裂/破损,,,,,韶关-广州南,,,G70,,三菱,中车株洲电机有限公司,D5996,,,,,,,,,,,,,,,,,,,,部件变形/裂纹/断裂/破损,,,,,车轮镟修,,,,,,,,,,,,,,,检服-机-2017-174,
,,,,福州南所,,E22:254,,广州铁路（集团）公司-空,福州,,,,,,,,,显示错误,,,,,福州南所,,,上海虹桥-广州南,,三菱电机株式会社,航宇嘉泰,G1305,,,,,,,,,,,,,,,,,,,,显示错误,,,,,紧固调节拉锁,,,,,,,,,,,,,,,检服-机-2017-152,
,,,,北京南动车所,,E22:255,,南昌铁路局-龙岩,太原,,,,,,,,,渗油/漏油,,,,,北京南动车所,,,昆明南-广州南,,上海元通座椅系统有限公司,华启,D3836次,,,,,,,,,,,,,,,,,,,,渗油/漏油,,,,,紧固处理,,,,,,,,,,,,,,,检服-内-2017-130,
,,,,上海南动车所,,E22:256,,上海铁路局-合肥,龙岩,,,,,,,,,过分相控制装置故障,,,,,上海南动车所,,,无,,上海南,昌博,无,,,,,,,,,,,,,,,,,,,,过分相控制装置故障,,,,,更换灯管,,,,,,,,,,,,,,,检服-内-2017-BD008,
,,,,太原动车所,,E22:257,,武汉铁路局-汉口,技术工程部,,,,,,,,,阻尼过小,,,,,太原动车所,,,福州-西安北,,上海南洋电材有限公司,今创集团,G1902,,,,,,,,,,,,,,,,,,,,阻尼过小,,,,,重新调整关门速度,,,,,,,,,,,,,,,检服-制-2017-BD005,
,,,,龙岩动车所,,E22:258,,郑州铁路局-郑州,青岛,,,,,,,,,裂纹/断裂/破损,,,,,龙岩动车所,,,北京南-上海虹桥,,上海南洋电缆有限公司,MTR,G1,,,,,,,,,,,,,,,,,,,,裂纹/断裂/破损,,,,,及时清理滤网、换热器,,,,,,,,,,,,,,,四方安监-电-2017-354,
,,,,回送中,,E22:259,,太原铁路局-太原,郑州东,,,,,,,,,无法调节/调节卡滞,,,,,回送中,,,福州-上海虹桥,,上海坦达轨道车辆座椅系统有限公司,电务ATP,G1632,,,,,,,,,,,,,,,,,,,,无法调节/调节卡滞,,,,,清理异物,,,,,,,,,,,,,,,检服-机-2017-194,
,,,,运营库,,GSYE03:401,,上海铁路局-上海南,石家庄,,,,,,,,,踏面擦伤,,,,,运营库,,,石家庄-邢台东,,上海局段,常州赛尔,G6755,,,,,,,,,,,,,,,,,,,,踏面擦伤,,,,,更换云台,,,,,,,,,,,,,,,检服-转-2017-287,
,,,,郑州东至石家庄区间,,GSYE03:403,,太原铁路局-空,北京西,,,,,,,,,失效,,,,,郑州东至石家庄区间,,,珠海-广州南,,上海希玛科技（集团）有限公司,日本大光电气株式会社,C7686,,,,,,,,,,,,,,,,,,,,失效,,,,,修复破损部件,,,,,,,,,,,,,,,检服-电-2017-498,
,,,,济南西-南京南,,GSYE03:405,,西安铁路局-兰州,重庆,,,,,,,,,承载轮脱轨,,,,,济南西-南京南,,,香港西九龙-广州南,,上海福伊特夏固今创车钩技术有限公司,song,G6518,,,,,,,,,,,,,,,,,,,,承载轮脱轨,,,,,更换传感器,,,,,,,,,,,,,,,检服-内-2017-110,
,,,,北京西动车所,,GSYE12:409,,西安铁路局-西安,成都,,,,,,,,,部件松动/脱落/断裂,,,,,北京西动车所,,,南京-深圳北,,上海铁工经贸有限公司,国祥,D2281,,,,,,,,,,,,,,,,,,,,部件松动/脱落/断裂,,,,,更换损坏部件,,,,,,,,,,,,,,,检服-电-2017-585,
,,,,郑州东所,,GSYE12:410,,南昌铁路局-南昌,汉口,,,,,,,,,持续响铃,,,,,郑州东所,,,广州南-成都东,,上海铁路局,南京海泰,G1316,,,,,,,,,,,,,,,,,,,,持续响铃,,,,,更新软连线,,,,,,,,,,,,,,,检服-电-2017-549,
,,,,长沙南站,,GSYE12:411,,南宁铁路局-技术工程部,西安,,,,,,,,,失效/无应答,,,,,长沙南站,,,汉口-成都东,,上海铁路局-上海南动车所,其他,D2259,,,,,,,,,,,,,,,,,,,,失效/无应答,,,,,重新启动,,,,,,,,,,,,,,,检服-制-2017-119,
,,,,郑州东动车所,,GSYE12:412,,成都铁路局-重庆,桂林,,,,,,,,,异常磨耗,,,,,郑州东动车所,,,南京南-成都东,,上海铁路局-上海南动车组运用所,1,D2373,,,,,,,,,,,,,,,,,,,,异常磨耗,,,,,重新安装,,,,,,,,,,,,,,,检服-内-2017-144,
,,,,平遥古城-介休东区间,,GSYE12:413,,南宁铁路局-南宁,南昌,,,,,,,,,开关不到位/卡滞,,,,,平遥古城-介休东区间,,,广州南-珠海,,上海铁路局-余姚动车所,123,C7692,,,,,,,,,,,,,,,,,,,,开关不到位/卡滞,,,,,调正喷嘴位置,,,,,,,,,,,,,,,检服-电-2017-484,
,,,,南宁动车所,,GSYE11:414,,郑州铁路局-郑州东,乌鲁木齐,,,,,,,,,电源模块故障,,,,,南宁动车所,,,冠豸山-南昌,,上海铁路局-余姚动车组运用所,亚通达,D6514,,,,,,,,,,,,,,,,,,,,电源模块故障,,,,,更换灯具,,,,,,,,,,,,,,,检服-电-2017-109,
,,,,汉口动车所,,GSYE11:415,,南昌铁路局-厦门,贵阳,,,,,,,,,龟裂,,,,,汉口动车所,,,广州南-广州南动车所,,上海铁路局-南京动车所,待判定,0G6109,,,,,,,,,,,,,,,,,,,,龟裂,,,,,更换腿靠电机,,,,,,,,,,,,,,,检服-制-2017-118,
